rosbagTimestamp,x,y
1410777000000,0.25,3.4998172876
1410790000000,0.25,3.5092803698
1410803000000,0.25,3.5187385395
1410817000000,0.25,3.5282012779
1410830000000,0.25,3.5376709077
1410831000000,0.25,3.547136752
1410844000000,0.25,3.5565947464
1410847000000,0.25,3.5660537498
1410860000000,0.25,3.5755178039
1410874000000,0.25,3.5849853597
1410888000000,0.25,3.5944468897
1410889000000,0.25,3.6039028899
1410902000000,0.25,3.613361992
1410907000000,0.25,3.6228281049
1410917000000,0.25,3.6322920749
1410930000000,0.25,3.6417483885
1410945000000,0.25,3.6512032593
1410958000000,0.25,3.6606652807
1410959000000,0.25,3.6701306385
1410972000000,0.25,3.6795890403
1410977000000,0.25,3.6890417299
1410990000000,0.25,3.6984983005
1411004000000,0.25,3.7079624614
1411018000000,0.25,3.7174227592
1411019000000,0.25,3.7268773817
1411033000000,0.25,3.7363295719
1411037000000,0.25,3.745787675
1411050000000,0.25,3.7552499647
1411064000000,0.25,3.7647066397
1411078000000,0.25,3.7741572613
1411078000000,0.25,3.7836102819
1411091000000,0.25,3.7930705831
1411097000000,0.25,3.8025296029
1411110000000,0.25,3.8119808273
1411117000000,0.25,3.8214298284
1411131000000,0.25,3.8308856158
1411145000000,0.25,3.840345621
1411159000000,0.25,3.8497991075
1411159000000,0.25,3.8592462689
1411173000000,0.25,3.8686965284
1411177000000,0.25,3.8781547463
1411190000000,0.25,3.8876109812
1411204000000,0.25,3.8970586841
1411218000000,0.25,3.9065059602
1411219000000,0.25,3.915957494
1411231000000,0.25,3.9254141791
1411237000000,0.25,3.9348658115
1411250000000,0.25,3.9443108347
1411265000000,0.25,3.9537574588
1411278000000,0.25,3.9632116092
1411279000000,0.25,3.972665446
1411292000000,0.25,3.9821113816
1411297000000,0.25,3.9915542583
1411311000000,0.25,4.0010035008
1411317000000,0.25,4.0104578764
1411332000000,0.25,4.019906248
1411345000000,0.25,4.029347654
1411358000000,0.25,4.0387913276
1411359000000,0.25,4.048243297
1411371000000,0.25,4.0576943166
1411377000000,0.25,4.0671366156
1411390000000,0.25,4.0765781177
1411403000000,0.25,4.0860228041
1411417000000,0.25,4.0954733301
1411431000000,0.25,4.1049194489
1411432000000,0.25,4.1143588358
1411444000000,0.25,4.1237991773
1411447000000,0.25,4.133246805
1411460000000,0.25,4.1426948344
1411474000000,0.25,4.1521352517
1411487000000,0.25,4.1615721235
1411488000000,0.25,4.1710147289
1411501000000,0.25,4.1804628413
1411507000000,0.25,4.1899056385
1411517000000,0.25,4.1993412928
1411531000000,0.25,4.2087784998
1411544000000,0.25,4.2182237856
1411558000000,0.25,4.2276689356
1411559000000,0.25,4.2371056331
1411572000000,0.25,4.2465389175
1411577000000,0.25,4.2559788823
1411591000000,0.25,4.2654245327
1411604000000,0.25,4.274863878
1411619000000,0.25,4.2842956878
1411620000000,0.25,4.293729727
1411633000000,0.25,4.3031726853
1411637000000,0.25,4.3126135107
1411650000000,0.25,4.3220482453
1411664000000,0.25,4.3314787081
1411678000000,0.25,4.3409143711
1411678000000,0.25,4.3503561402
1411691000000,0.25,4.3597932453
1411697000000,0.25,4.369222801
1411711000000,0.25,4.3786531264
1411717000000,0.25,4.3880915329
1411730000000,0.25,4.3975307623
1411744000000,0.25,4.4069616261
1411758000000,0.25,4.4163883241
1411758000000,0.25,4.4258211169
1411771000000,0.25,4.4352603297
1411777000000,0.25,4.4446939328
1411790000000,0.25,4.4541195123
1411804000000,0.25,4.4635464566
1411818000000,0.25,4.4729823837
1411818000000,0.25,4.4824185982
1411831000000,0.25,4.4918455125
1411837000000,0.25,4.5012705256
1411851000000,0.25,4.5106982911
1411865000000,0.25,4.5201333568
1411876000000,0.25,4.5295645591
1411890000000,0.25,4.5389878178
1411891000000,0.25,4.5484109858
1411904000000,0.25,4.5578421809
1411907000000,0.25,4.5672752286
1411917000000,0.25,4.5767000618
1411930000000,0.25,4.5861199413
1411944000000,0.25,4.5955452748
1411958000000,0.25,4.6049777529
1411958000000,0.25,4.6144054005
1411971000000,0.25,4.623824537
1411977000000,0.25,4.6332441359
1411990000000,0.25,4.642672728
1412004000000,0.25,4.6521027343
1412018000000,0.25,4.6615235221
1412019000000,0.25,4.67094158
1412032000000,0.25,4.6803616629
